columna,qué es,disponible antes del evento,uso en el PAA
Fecha,define el período de la unidad de análisis,sí,eje temporal del panel
"X, Y",definen la zona (celda de 500 m),sí,eje espacial del panel
Departamento,atributo territorial de la zona,sí,descriptivo / agrupación
Localidad,atributo territorial de la zona,parcial,faltante encubierto (ver 2.1)
Calle,texto libre del lugar,parcial,alta cardinalidad; no se usa
Dia Semana,derivable de Fecha,sí,redundante: se recalcula
Hora,hora del siniestro ocurrido,no,posterior al evento
Tipo de Siniestro,clasificación del siniestro ocurrido,no,posterior al evento
Gravedad,consecuencia del siniestro ocurrido,no,posterior al evento
fixed,marca del proceso ETL del PID,no,constante: sin información
